Origin,CRSElapsedTime,AirTime,Distance,Year,IsWeekend,Season,CRSArr_TimeOfDay,CRSDep_TimeOfDay,dest_temperature_2m_mean,dest_wind_speed_10m_max,dest_wind_gusts_10m_max,dest_precipitation_sum,dest_rain_sum,dest_snowfall_sum,dest_precipitation_hours,dest_weather_code,dest_temperature_2m_range,origin_temperature_2m_mean,origin_wind_speed_10m_max,origin_wind_gusts_10m_max,origin_precipitation_sum,origin_rain_sum,origin_snowfall_sum,origin_precipitation_hours,origin_weather_code,origin_temperature_2m_range,airline_name,SinMonth,CosMonth,SinDay,CosDay
MSY,166.0,148.0,1089.0,2022,0,Spring,Afternoon,Morning,-2.1,7.9,46.4,0.0,0.0,0.0,0.0,0,11.2,21.7,26.7,47.5,3.8,3.8,0.0,7.0,63,6.899999999999999,American Airlines Inc.,0.8660254037844387,-0.49999999999999983,0.72479278722912,0.6889669190756866
BOS,103.0,56.0,280.0,2020,0,Spring,Afternoon,Afternoon,-11.9,6.9,23.4,0.3,0.0,0.21,3.0,71,10.3,9.4,20.5,40.7,0.2,0.2,0.0,1.0,51,10.200000000000001,Republic Airline,1.0,6.123233995736766e-17,0.39435585511331855,0.9189578116202306
PHX,274.0,256.0,2075.0,2022,0,Fall,Afternoon,Morning,6.0,9.3,38.2,0.5,0.5,0.0,2.0,51,10.2,35.2,15.5,26.6,0.0,0.0,0.0,0.0,1,13.399999999999999,American Airlines Inc.,-1.0,-1.8369701987210297e-16,0.39435585511331855,0.9189578116202306
PHX,280.0,243.0,2075.0,2023,0,Summer,Evening,Morning,5.7,10.0,59.8,0.0,0.0,0.0,0.0,3,9.9,30.5,18.3,35.3,0.0,0.0,0.0,0.0,1,14.200000000000003,American Airlines Inc.,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763
FLL,175.0,138.0,992.0,2020,0,Spring,Afternoon,Morning,-11.1,6.6,22.7,0.0,0.0,0.0,0.0,3,11.200000000000001,21.2,24.9,46.4,0.0,0.0,0.0,0.0,3,5.200000000000003,Southwest Airlines Co.,1.0,6.123233995736766e-17,0.0,1.0
IAH,205.0,163.0,1325.0,2023,0,Summer,Evening,Afternoon,0.8,6.9,28.4,5.7,5.7,0.0,14.0,55,7.0,25.5,14.7,31.7,0.9,0.9,0.0,6.0,51,10.8,United Air Lines Inc.,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763
DEN,215.0,174.0,1558.0,2022,1,Fall,Night,Evening,-4.7,8.4,42.5,0.0,0.0,0.0,0.0,3,13.3,15.2,26.2,55.4,1.9,1.9,0.0,2.0,61,10.200000000000001,Southwest Airlines Co.,-0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203
MKE,129.0,88.0,690.0,2022,0,Summer,Evening,Afternoon,10.4,7.7,31.7,2.1,2.1,0.0,6.0,53,11.100000000000001,19.1,26.1,51.1,0.0,0.0,0.0,0.0,0,7.399999999999999,PSA Airlines Inc.,1.2246467991473532e-16,-1.0,0.0,1.0
ATL,115.0,86.0,666.0,2021,0,Fall,Night,Night,-10.3,7.8,51.8,0.0,0.0,0.0,0.0,0,11.5,19.8,13.7,23.4,0.0,0.0,0.0,0.0,3,8.2,Delta Air Lines Inc.,-0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945
BOS,93.0,63.0,280.0,2024,1,Summer,Afternoon,Afternoon,9.5,8.4,28.1,3.7,3.7,0.0,9.0,61,8.3,25.8,18.6,39.6,11.8,11.8,0.0,7.0,65,7.199999999999999,JetBlue Airways,-0.8660254037844384,-0.5000000000000004,0.9377521321470804,0.3473052528448203
FLL,159.0,129.0,992.0,2021,1,Spring,Morning,Morning,-2.3,10.2,52.6,0.0,0.0,0.0,0.0,3,10.6,24.7,29.2,55.4,1.5,1.5,0.0,9.0,51,5.200000000000003,Spirit Air Lines,0.49999999999999994,-0.8660254037844387,0.9377521321470804,0.3473052528448203
MSN,125.0,107.0,764.0,2023,0,Fall,Evening,Afternoon,4.8,10.8,34.9,0.0,0.0,0.0,0.0,3,12.8,24.4,21.3,39.6,4.8,4.8,0.0,9.0,63,6.5,PSA Airlines Inc.,-1.0,-1.8369701987210297e-16,0.39435585511331855,0.9189578116202306
STL,130.0,101.0,814.0,2024,0,Fall,Morning,Morning,-7.2,9.4,29.2,0.0,0.0,0.0,0.0,0,12.200000000000001,22.9,29.7,59.0,0.0,0.0,0.0,0.0,3,7.400000000000002,American Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.39435585511331855,0.9189578116202306
BTV,103.0,68.0,335.0,2022,1,Winter,Morning,Morning,-19.2,9.6,27.0,0.0,0.0,0.0,0.0,0,12.299999999999999,-9.1,32.2,64.8,0.1,0.0,0.14,1.0,71,7.9,PSA Airlines Inc.,-2.4492935982947064e-16,1.0,0.9377521321470804,0.3473052528448203
SFO,312.0,269.0,2521.0,2023,0,Fall,Afternoon,Morning,-6.0,6.8,31.3,6.5,0.0,4.55,13.0,73,8.399999999999999,12.9,16.1,31.0,0.0,0.0,0.0,0.0,3,8.2,American Airlines Inc.,-0.5000000000000004,0.8660254037844384,0.5712682150947923,0.8207634412072763
ORF,68.0,43.0,212.0,2021,1,Fall,Morning,Morning,-0.2,12.6,83.2,2.0,0.0,1.4,7.0,73,9.3,18.3,12.1,24.5,0.0,0.0,0.0,0.0,3,13.600000000000001,PSA Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.8486442574947509,0.5289640103269624
BDL,78.0,56.0,196.0,2024,1,Spring,Morning,Morning,-6.0,10.5,41.4,0.3,0.0,0.21,3.0,71,14.4,1.4,25.3,54.0,49.0,49.0,0.0,16.0,65,2.5999999999999996,PSA Airlines Inc.,1.0,6.123233995736766e-17,0.8486442574947509,0.5289640103269624
GRR,122.0,87.0,573.0,2020,0,Winter,Morning,Morning,-15.0,7.1,35.3,0.0,0.0,0.0,0.0,3,9.299999999999999,2.8,14.5,29.2,0.0,0.0,0.0,0.0,3,4.7,PSA Airlines Inc.,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866
DFW,183.0,156.0,1303.0,2021,1,Fall,Morning,Morning,-20.2,7.7,25.9,1.6,0.0,1.12,13.0,71,11.000000000000002,12.7,19.5,34.9,4.5,4.5,0.0,4.0,63,8.100000000000001,American Airlines Inc.,-0.5000000000000004,0.8660254037844384,0.9377521321470804,0.3473052528448203
MCO,149.0,107.0,861.0,2024,0,Spring,Night,Night,-16.9,6.9,25.6,1.7,0.0,1.19,12.0,71,7.500000000000002,20.8,18.9,37.8,0.4,0.4,0.0,3.0,51,9.8,Frontier Airlines Inc.,1.0,6.123233995736766e-17,0.72479278722912,0.6889669190756866
TPA,168.0,150.0,920.0,2023,0,Summer,Evening,Evening,8.2,13.3,42.1,1.1,1.1,0.0,1.0,55,12.5,29.6,14.8,31.3,2.8,2.8,0.0,3.0,63,9.099999999999998,Frontier Airlines Inc.,-0.4999999999999998,-0.8660254037844388,0.0,1.0
BOS,88.0,62.0,280.0,2021,0,Fall,Morning,Morning,-12.5,11.5,64.4,5.4,0.0,3.78,11.0,73,13.399999999999999,17.5,18.4,33.5,0.1,0.1,0.0,1.0,51,6.099999999999998,Republic Airline,-0.8660254037844386,0.5000000000000001,0.72479278722912,0.6889669190756866
BHM,138.0,105.0,772.0,2024,0,Summer,Evening,Afternoon,7.3,10.1,42.5,0.7,0.7,0.0,3.0,51,10.4,26.1,9.4,22.3,0.0,0.0,0.0,0.0,2,11.8,PSA Airlines Inc.,-0.4999999999999998,-0.8660254037844388,0.5712682150947923,0.8207634412072763
MDW,121.0,90.0,668.0,2024,0,Fall,Night,Evening,-6.4,8.4,27.4,0.0,0.0,0.0,0.0,2,12.3,19.2,34.8,69.1,7.2,7.2,0.0,5.0,63,10.999999999999998,Frontier Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763
DFW,201.0,154.0,1303.0,2023,0,Spring,Afternoon,Morning,-7.0,8.4,27.4,0.3,0.0,0.21,3.0,71,14.100000000000001,24.1,22.4,46.8,1.0,1.0,0.0,4.0,53,8.700000000000003,American Airlines Inc.,0.49999999999999994,-0.8660254037844387,0.20129852008866006,0.9795299412524945
MCO,146.0,121.0,861.0,2021,0,Fall,Afternoon,Afternoon,-10.8,10.4,63.0,0.0,0.0,0.0,0.0,2,10.700000000000001,23.2,10.0,22.7,8.5,8.5,0.0,8.0,63,6.800000000000001,American Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.0,1.0
ATL,115.0,96.0,666.0,2025,0,Winter,Night,Night,-16.2,9.7,25.6,0.0,0.0,0.0,0.0,3,13.899999999999999,18.7,15.4,33.1,2.6,2.6,0.0,4.0,61,7.0,Delta Air Lines Inc.,0.8660254037844386,0.5000000000000001,0.72479278722912,0.6889669190756866
CLT,99.0,71.0,449.0,2025,0,Spring,Evening,Afternoon,-3.1,6.8,29.9,31.7,3.3,19.88,17.0,75,5.5,20.3,26.3,62.3,5.2,5.2,0.0,9.0,61,8.599999999999998,American Airlines Inc.,0.49999999999999994,-0.8660254037844387,0.72479278722912,0.6889669190756866
